日付,施設（本院に合算）コード,DCF施設コード,品目コード,実績
20230406,F004,F004,00001,99
20230424,F004,F004,00001,12
20230516,F004,F004,00001,149
20230607,F004,F004,00001,35
20230623,F004,F004,00001,76
20230709,F004,F004,00001,73
20230723,F004,F004,00001,34
20230806,F004,F004,00001,41
20230814,F004,F004,00001,58
20230828,F004,F004,00001,18
20230910,F004,F004,00001,146
20231007,F004,F004,00001,44
20231022,F004,F004,00001,42
20231106,F004,F004,00001,72
20231122,F004,F004,00001,91
20231210,F004,F004,00001,117
20231222,F004,F004,00001,42
20240110,F004,F004,00001,78
20240122,F004,F004,00001,58
20240209,F004,F004,00001,55
20240222,F004,F004,00001,60
20240306,F004,F004,00001,124
20240324,F004,F004,00001,46
20240407,F004,F004,00001,20
20240415,F004,F004,00001,117
20240426,F004,F004,00001,36
20240509,F004,F004,00001,160
20240604,F004,F004,00001,28
20240615,F004,F004,00001,15
20240627,F004,F004,00001,101
20240729,F004,F004,00001,153
20240804,F004,F004,00001,143
20240909,F004,F004,00001,20
20240921,F004,F004,00001,157
20241008,F004,F004,00001,92
20241022,F004,F004,00001,74
20241110,F004,F004,00001,70
20241122,F004,F004,00001,108
20241206,F004,F004,00001,96
20241222,F004,F004,00001,31
20250110,F004,F004,00001,87
20250126,F004,F004,00001,72
20250207,F004,F004,00001,97
20250223,F004,F004,00001,92
20250308,F004,F004,00001,132
20250325,F004,F004,00001,41
20250417,F004,F004,00001,199
20250505,F004,F004,00001,62
20250515,F004,F004,00001,55
20250525,F004,F004,00001,32
20250609,F004,F004,00001,48
20250621,F004,F004,00001,135
20250708,F004,F004,00001,92
20250725,F004,F004,00001,73
20250810,F004,F004,00001,142
20250826,F004,F004,00001,10
20250906,F004,F004,00001,40
20250916,F004,F004,00001,32
20250925,F004,F004,00001,82
20251007,F004,F004,00001,88
20251025,F004,F004,00001,59
20251106,F004,F004,00001,122
20251122,F004,F004,00001,54
20251208,F004,F004,00001,82
20251216,F004,F004,00001,83
20251226,F004,F004,00001,16
20230409,F005,F005,00001,47
20230425,F005,F005,00001,22
20230507,F005,F005,00001,26
20230522,F005,F005,00001,40
20230608,F005,F005,00001,28
20230614,F005,F005,00001,28
20230627,F005,F005,00001,15
20230710,F005,F005,00001,60
20230723,F005,F005,00001,2
20230807,F005,F005,00001,45
20230814,F005,F005,00001,18
20230827,F005,F005,00001,30
20230904,F005,F005,00001,22
20230914,F005,F005,00001,36
20230924,F005,F005,00001,43
20231008,F005,F005,00001,33
20231023,F005,F005,00001,81
20231106,F005,F005,00001,55
20231125,F005,F005,00001,12
20231206,F005,F005,00001,24
20231216,F005,F005,00001,35
20231224,F005,F005,00001,18
20240119,F005,F005,00001,94
20240208,F005,F005,00001,53
20240221,F005,F005,00001,33
20240308,F005,F005,00001,57
20240322,F005,F005,00001,31
20240405,F005,F005,00001,118
20240509,F005,F005,00001,78
20240524,F005,F005,00001,29
20240628,F005,F005,00001,119
20240706,F005,F005,00001,48
20240716,F005,F005,00001,42
20240728,F005,F005,00001,22
20240810,F005,F005,00001,54
20240825,F005,F005,00001,30
20240901,F005,F005,00001,121
20241005,F005,F005,00001,16
20241015,F005,F005,00001,43
20241024,F005,F005,00001,56
20241107,F005,F005,00001,50
20241122,F005,F005,00001,37
20241208,F005,F005,00001,31
20241224,F005,F005,00001,66
20250104,F005,F005,00001,66
20250116,F005,F005,00001,55
20250124,F005,F005,00001,14
20250207,F005,F005,00001,119
20250307,F005,F005,00001,87
20250324,F005,F005,00001,31
20250406,F005,F005,00001,34
20250414,F005,F005,00001,22
20250428,F005,F005,00001,75
20250506,F005,F005,00001,85
20250524,F005,F005,00001,44
20250610,F005,F005,00001,90
20250622,F005,F005,00001,60
20250709,F005,F005,00001,85
20250724,F005,F005,00001,36
20250807,F005,F005,00001,78
20250823,F005,F005,00001,71
20250906,F005,F005,00001,50
20250918,F005,F005,00001,22
20250924,F005,F005,00001,81
20251009,F005,F005,00001,83
20251024,F005,F005,00001,94
20251106,F005,F005,00001,35
20251121,F005,F005,00001,65
20251205,F005,F005,00001,27
20251214,F005,F005,00001,61
20251228,F005,F005,00001,50
20230410,F006,F006,00001,31
20230422,F006,F006,00001,49
20230509,F006,F006,00001,19
20230525,F006,F006,00001,69
20230607,F006,F006,00001,72
20230625,F006,F006,00001,24
20230707,F006,F006,00001,36
20230722,F006,F006,00001,30
20230806,F006,F006,00001,51
20230825,F006,F006,00001,69
20230930,F006,F006,00001,113
20231007,F006,F006,00001,45
20231022,F006,F006,00001,50
20231107,F006,F006,00001,30
20231115,F006,F006,00001,13
20231127,F006,F006,00001,81
20231208,F006,F006,00001,42
20231224,F006,F006,00001,57
20240109,F006,F006,00001,89
20240126,F006,F006,00001,25
20240206,F006,F006,00001,61
20240224,F006,F006,00001,34
20240306,F006,F006,00001,31
20240323,F006,F006,00001,88
20240407,F006,F006,00001,92
20240424,F006,F006,00001,36
20240508,F006,F006,00001,64
20240523,F006,F006,00001,75
20240618,F006,F006,00001,143
20240707,F006,F006,00001,12
20240716,F006,F006,00001,43
20240726,F006,F006,00001,75
20240808,F006,F006,00001,95
20240826,F006,F006,00001,43
20240907,F006,F006,00001,73
20240924,F006,F006,00001,54
20241003,F006,F006,00001,106
20241120,F006,F006,00001,132
20241205,F006,F006,00001,14
20241214,F006,F006,00001,51
20241226,F006,F006,00001,34
20250108,F006,F006,00001,87
20250124,F006,F006,00001,33
20250209,F006,F006,00001,45
20250222,F006,F006,00001,62
20250307,F006,F006,00001,70
20250322,F006,F006,00001,64
20250406,F006,F006,00001,54
20250421,F006,F006,00001,56
20250507,F006,F006,00001,59
20250517,F006,F006,00001,14
20250526,F006,F006,00001,36
20250605,F006,F006,00001,130
20250730,F006,F006,00001,130
20250813,F006,F006,00001,109
20250908,F006,F006,00001,30
20250916,F006,F006,00001,29
20250926,F006,F006,00001,36
20251004,F006,F006,00001,7
20251014,F006,F006,00001,64
20251024,F006,F006,00001,34
20251114,F006,F006,00001,104
20251208,F006,F006,00001,46
20251214,F006,F006,00001,78
20251225,F006,F006,00001,31
20230405,F007,F007,00001,68
20230418,F007,F007,00001,62
20230425,F007,F007,00001,46
20230506,F007,F007,00001,80
20230526,F007,F007,00001,51
20230608,F007,F007,00001,107
20230622,F007,F007,00001,31
20230705,F007,F007,00001,66
20230716,F007,F007,00001,15
20230726,F007,F007,00001,40
20230809,F007,F007,00001,85
20230825,F007,F007,00001,41
20230930,F007,F007,00001,150
20231008,F007,F007,00001,120
20231022,F007,F007,00001,65
20231109,F007,F007,00001,127
20231208,F007,F007,00001,88
20231215,F007,F007,00001,9
20231224,F007,F007,00001,82
20240109,F007,F007,00001,128
20240126,F007,F007,00001,27
20240212,F007,F007,00001,123
20240305,F007,F007,00001,28
20240316,F007,F007,00001,82
20240326,F007,F007,00001,50
20240422,F007,F007,00001,162
20240506,F007,F007,00001,69
20240526,F007,F007,00001,92
20240610,F007,F007,00001,91
20240623,F007,F007,00001,18
20240708,F007,F007,00001,63
20240714,F007,F007,00001,39
20240726,F007,F007,00001,63
20240808,F007,F007,00001,113
20240826,F007,F007,00001,42
20240904,F007,F007,00001,105
20240918,F007,F007,00001,32
20240925,F007,F007,00001,40
20241007,F007,F007,00001,35
20241016,F007,F007,00001,78
20241026,F007,F007,00001,52
20241107,F007,F007,00001,112
20241121,F007,F007,00001,51
20241206,F007,F007,00001,63
20241223,F007,F007,00001,101
20250106,F007,F007,00001,120
20250126,F007,F007,00001,58
20250210,F007,F007,00001,60
20250224,F007,F007,00001,104
20250323,F007,F007,00001,161
20250424,F007,F007,00001,177
20250508,F007,F007,00001,61
20250518,F007,F007,00001,28
20250526,F007,F007,00001,49
20250609,F007,F007,00001,67
20250622,F007,F007,00001,132
20250710,F007,F007,00001,75
20250722,F007,F007,00001,120
20250807,F007,F007,00001,28
20250817,F007,F007,00001,132
20250827,F007,F007,00001,25
20250908,F007,F007,00001,121
20250916,F007,F007,00001,19
20250926,F007,F007,00001,35
20251014,F007,F007,00001,178
20251110,F007,F007,00001,90
20251125,F007,F007,00001,75
20251207,F007,F007,00001,106
20251226,F007,F007,00001,71
20230406,F008,F008,00001,16
20230414,F008,F008,00001,19
20230421,F008,F008,00001,20
20230427,F008,F008,00001,13
20230504,F008,F008,00001,16
20230512,F008,F008,00001,57
20230521,F008,F008,00001,9
20230529,F008,F008,00001,39
20230602,F008,F008,00001,11
20230612,F008,F008,00001,30
20230617,F008,F008,00001,36
20230629,F008,F008,00001,21
20230702,F008,F008,00001,18
20230709,F008,F008,00001,21
20230717,F008,F008,00001,21
20230724,F008,F008,00001,33
20230729,F008,F008,00001,36
20230804,F008,F008,00001,46
20230815,F008,F008,00001,36
20230828,F008,F008,00001,28
20230906,F008,F008,00001,17
20230912,F008,F008,00001,19
20230919,F008,F008,00001,13
20230927,F008,F008,00001,49
20231007,F008,F008,00001,63
20231015,F008,F008,00001,13
20231028,F008,F008,00001,31
20231104,F008,F008,00001,10
20231108,F008,F008,00001,12
20231117,F008,F008,00001,14
20231124,F008,F008,00001,13
20231127,F008,F008,00001,42
20231204,F008,F008,00001,34
20231214,F008,F008,00001,15
20231221,F008,F008,00001,31
20231228,F008,F008,00001,17
20240105,F008,F008,00001,13
20240111,F008,F008,00001,7
20240122,F008,F008,00001,15
20240126,F008,F008,00001,48
20240202,F008,F008,00001,5
20240213,F008,F008,00001,28
20240221,F008,F008,00001,28
20240228,F008,F008,00001,11
20240304,F008,F008,00001,32
20240310,F008,F008,00001,29
20240317,F008,F008,00001,8
20240323,F008,F008,00001,27
20240327,F008,F008,00001,17
20240404,F008,F008,00001,18
20240411,F008,F008,00001,85
20240420,F008,F008,00001,22
20240427,F008,F008,00001,19
20240505,F008,F008,00001,32
20240512,F008,F008,00001,13
20240515,F008,F008,00001,59
20240523,F008,F008,00001,23
20240528,F008,F008,00001,8
20240604,F008,F008,00001,17
20240612,F008,F008,00001,12
20240617,F008,F008,00001,19
20240622,F008,F008,00001,22
20240627,F008,F008,00001,35
20240705,F008,F008,00001,37
20240710,F008,F008,00001,19
20240722,F008,F008,00001,11
20240728,F008,F008,00001,18
20240803,F008,F008,00001,33
20240814,F008,F008,00001,17
20240819,F008,F008,00001,16
20240829,F008,F008,00001,23
20240907,F008,F008,00001,60
20240915,F008,F008,00001,28
20240926,F008,F008,00001,39
20241006,F008,F008,00001,9
20241008,F008,F008,00001,31
20241017,F008,F008,00001,12
20241023,F008,F008,00001,45
20241028,F008,F008,00001,17
20241105,F008,F008,00001,26
20241110,F008,F008,00001,35
20241117,F008,F008,00001,26
20241122,F008,F008,00001,17
20241126,F008,F008,00001,20
20241202,F008,F008,00001,16
20241209,F008,F008,00001,12
20241217,F008,F008,00001,13
20241221,F008,F008,00001,9
20241230,F008,F008,00001,36
20250106,F008,F008,00001,9
20250108,F008,F008,00001,25
20250114,F008,F008,00001,41
20250123,F008,F008,00001,26
20250128,F008,F008,00001,10
20250207,F008,F008,00001,79
20250215,F008,F008,00001,27
20250223,F008,F008,00001,40
20250302,F008,F008,00001,84
20250314,F008,F008,00001,12
20250321,F008,F008,00001,22
20250327,F008,F008,00001,16
20250404,F008,F008,00001,24
20250413,F008,F008,00001,67
20250421,F008,F008,00001,13
20250427,F008,F008,00001,17
20250502,F008,F008,00001,34
20250510,F008,F008,00001,40
20250519,F008,F008,00001,25
20250526,F008,F008,00001,20
20250608,F008,F008,00001,57
20250618,F008,F008,00001,7
20250627,F008,F008,00001,38
20250703,F008,F008,00001,33
20250712,F008,F008,00001,9
20250718,F008,F008,00001,35
20250727,F008,F008,00001,37
20250804,F008,F008,00001,36
20250814,F008,F008,00001,25
20250820,F008,F008,00001,21
20250828,F008,F008,00001,48
20250902,F008,F008,00001,18
20250910,F008,F008,00001,46
20250920,F008,F008,00001,28
20250925,F008,F008,00001,36
20251005,F008,F008,00001,21
20251012,F008,F008,00001,24
20251019,F008,F008,00001,70
20251028,F008,F008,00001,39
20251104,F008,F008,00001,18
20251110,F008,F008,00001,73
20251118,F008,F008,00001,34
20251129,F008,F008,00001,32
20251208,F008,F008,00001,77
20251216,F008,F008,00001,31
20251224,F008,F008,00001,22
20230420,F009,F009,00001,72
20230511,F009,F009,00001,105
20230615,F009,F009,00001,101
20230721,F009,F009,00001,95
20230810,F009,F009,00001,28
20230826,F009,F009,00001,25
20230902,F009,F009,00001,81
20231019,F009,F009,00001,82
20231101,F009,F009,00001,73
20231208,F009,F009,00001,100
20240109,F009,F009,00001,103
20240211,F009,F009,00001,78
20240312,F009,F009,00001,89
20240410,F009,F009,00001,24
20240422,F009,F009,00001,71
20240517,F009,F009,00001,102
20240607,F009,F009,00001,138
20240714,F009,F009,00001,103
20240805,F009,F009,00001,117
20240904,F009,F009,00001,111
20241010,F009,F009,00001,80
20241022,F009,F009,00001,81
20241130,F009,F009,00001,127
20241217,F009,F009,00001,148
20250106,F009,F009,00001,174
20250210,F009,F009,00001,137
20250303,F009,F009,00001,172
20250408,F009,F009,00001,22
20250422,F009,F009,00001,133
20250525,F009,F009,00001,169
20250602,F009,F009,00001,171
20250704,F009,F009,00001,172
20250807,F009,F009,00001,146
20250823,F009,F009,00001,26
20250924,F009,F009,00001,147
20251009,F009,F009,00001,48
20251026,F009,F009,00001,69
20251126,F009,F009,00001,143
20251203,F009,F009,00001,153
20230409,F010,F010,00001,95
20230422,F010,F010,00001,46
20230508,F010,F010,00001,45
20230515,F010,F010,00001,16
20230526,F010,F010,00001,49
20230607,F010,F010,00001,48
20230615,F010,F010,00001,23
20230624,F010,F010,00001,50
20230705,F010,F010,00001,49
20230717,F010,F010,00001,26
20230724,F010,F010,00001,53
20230806,F010,F010,00001,22
20230814,F010,F010,00001,28
20230826,F010,F010,00001,73
20230905,F010,F010,00001,13
20230916,F010,F010,00001,35
20230926,F010,F010,00001,78
20231007,F010,F010,00001,33
20231014,F010,F010,00001,35
20231027,F010,F010,00001,80
20231108,F010,F010,00001,35
20231114,F010,F010,00001,26
20231126,F010,F010,00001,66
20231205,F010,F010,00001,28
20231213,F010,F010,00001,22
20231218,F010,F010,00001,25
20231230,F010,F010,00001,38
20240107,F010,F010,00001,24
20240114,F010,F010,00001,27
20240127,F010,F010,00001,97
20240207,F010,F010,00001,87
20240222,F010,F010,00001,32
20240306,F010,F010,00001,59
20240314,F010,F010,00001,21
20240327,F010,F010,00001,83
20240408,F010,F010,00001,86
20240423,F010,F010,00001,83
20240505,F010,F010,00001,81
20240517,F010,F010,00001,21
20240524,F010,F010,00001,71
20240608,F010,F010,00001,72
20240618,F010,F010,00001,68
20240627,F010,F010,00001,18
20240702,F010,F010,00001,5
20240711,F010,F010,00001,24
20240721,F010,F010,00001,61
20240727,F010,F010,00001,39
20240805,F010,F010,00001,22
20240815,F010,F010,00001,59
20240825,F010,F010,00001,49
20240903,F010,F010,00001,96
20240914,F010,F010,00001,40
20240918,F010,F010,00001,40
20240929,F010,F010,00001,36
20241008,F010,F010,00001,37
20241018,F010,F010,00001,100
20241024,F010,F010,00001,53
20241106,F010,F010,00001,49
20241115,F010,F010,00001,79
20241126,F010,F010,00001,89
20241209,F010,F010,00001,125
20241225,F010,F010,00001,59
20250107,F010,F010,00001,145
20250123,F010,F010,00001,59
20250210,F010,F010,00001,135
20250223,F010,F010,00001,95
20250309,F010,F010,00001,149
20250326,F010,F010,00001,64
20250406,F010,F010,00001,53
20250411,F010,F010,00001,63
20250420,F010,F010,00001,76
20250425,F010,F010,00001,41
20250504,F010,F010,00001,96
20250514,F010,F010,00001,68
20250519,F010,F010,00001,29
20250526,F010,F010,00001,55
20250610,F010,F010,00001,170
20250624,F010,F010,00001,78
20250709,F010,F010,00001,210
20250723,F010,F010,00001,35
20250805,F010,F010,00001,48
20250814,F010,F010,00001,64
20250826,F010,F010,00001,130
20250904,F010,F010,00001,65
20250916,F010,F010,00001,41
20250928,F010,F010,00001,153
20251005,F010,F010,00001,43
20251014,F010,F010,00001,84
20251027,F010,F010,00001,115
20251104,F010,F010,00001,71
20251115,F010,F010,00001,120
20251126,F010,F010,00001,49
20251206,F010,F010,00001,123
20251222,F010,F010,00001,129
20230404,F011,F011,00001,41
20230418,F011,F011,00001,49
20230425,F011,F011,00001,92
20230510,F011,F011,00001,73
20230525,F011,F011,00001,160
20230607,F011,F011,00001,150
20230625,F011,F011,00001,36
20230708,F011,F011,00001,113
20230726,F011,F011,00001,43
20230822,F011,F011,00001,202
20230908,F011,F011,00001,110
20230922,F011,F011,00001,119
20231009,F011,F011,00001,96
20231025,F011,F011,00001,102
20231107,F011,F011,00001,72
20231124,F011,F011,00001,130
20231207,F011,F011,00001,93
20231223,F011,F011,00001,131
20240107,F011,F011,00001,92
20240124,F011,F011,00001,105
20240210,F011,F011,00001,61
20240223,F011,F011,00001,142
20240307,F011,F011,00001,92
20240318,F011,F011,00001,121
20240327,F011,F011,00001,46
20240404,F011,F011,00001,40
20240418,F011,F011,00001,100
20240427,F011,F011,00001,103
20240507,F011,F011,00001,208
20240522,F011,F011,00001,63
20240606,F011,F011,00001,46
20240616,F011,F011,00001,143
20240624,F011,F011,00001,73
20240705,F011,F011,00001,11
20240714,F011,F011,00001,138
20240726,F011,F011,00001,118
20240806,F011,F011,00001,44
20240817,F011,F011,00001,119
20240825,F011,F011,00001,105
20240908,F011,F011,00001,145
20240921,F011,F011,00001,156
20241024,F011,F011,00001,296
20241109,F011,F011,00001,32
20241125,F011,F011,00001,219
20241218,F011,F011,00001,310
20250130,F011,F011,00001,267
20250208,F011,F011,00001,146
20250220,F011,F011,00001,112
20250312,F011,F011,00001,301
20250404,F011,F011,00001,12
20250416,F011,F011,00001,195
20250424,F011,F011,00001,113
20250509,F011,F011,00001,169
20250523,F011,F011,00001,148
20250607,F011,F011,00001,132
20250624,F011,F011,00001,129
20250707,F011,F011,00001,114
20250723,F011,F011,00001,224
20250807,F011,F011,00001,126
20250826,F011,F011,00001,104
20250919,F011,F011,00001,246
20251001,F011,F011,00001,341
20251107,F011,F011,00001,156
20251124,F011,F011,00001,125
20251206,F011,F011,00001,268
20251226,F011,F011,00001,29
20230403,F012,F012,00001,9
20230412,F012,F012,00001,8
20230417,F012,F012,00001,7
20230424,F012,F012,00001,7
20230426,F012,F012,00001,14
20230505,F012,F012,00001,13
20230508,F012,F012,00001,6
20230518,F012,F012,00001,11
20230523,F012,F012,00001,20
20230529,F012,F012,00001,29
20230606,F012,F012,00001,15
20230612,F012,F012,00001,31
20230618,F012,F012,00001,6
20230621,F012,F012,00001,12
20230628,F012,F012,00001,13
20230706,F012,F012,00001,28
20230709,F012,F012,00001,7
20230714,F012,F012,00001,11
20230721,F012,F012,00001,13
20230726,F012,F012,00001,11
20230804,F012,F012,00001,31
20230812,F012,F012,00001,6
20230819,F012,F012,00001,4
20230830,F012,F012,00001,12
20230905,F012,F012,00001,30
20230911,F012,F012,00001,12
20230917,F012,F012,00001,24
20230922,F012,F012,00001,11
20230927,F012,F012,00001,15
20231003,F012,F012,00001,23
20231008,F012,F012,00001,19
20231015,F012,F012,00001,22
20231024,F012,F012,00001,21
20231030,F012,F012,00001,8
20231105,F012,F012,00001,12
20231113,F012,F012,00001,35
20231118,F012,F012,00001,13
20231126,F012,F012,00001,42
20231204,F012,F012,00001,15
20231212,F012,F012,00001,26
20231221,F012,F012,00001,9
20231228,F012,F012,00001,19
20240102,F012,F012,00001,9
20240112,F012,F012,00001,27
20240116,F012,F012,00001,29
20240122,F012,F012,00001,24
20240129,F012,F012,00001,7
20240202,F012,F012,00001,9
20240209,F012,F012,00001,24
20240216,F012,F012,00001,36
20240221,F012,F012,00001,18
20240225,F012,F012,00001,20
20240305,F012,F012,00001,28
20240308,F012,F012,00001,30
20240317,F012,F012,00001,13
20240320,F012,F012,00001,43
20240328,F012,F012,00001,25
20240406,F012,F012,00001,26
20240410,F012,F012,00001,11
20240418,F012,F012,00001,17
20240424,F012,F012,00001,16
20240426,F012,F012,00001,27
20240503,F012,F012,00001,61
20240513,F012,F012,00001,30
20240518,F012,F012,00001,21
20240528,F012,F012,00001,18
20240604,F012,F012,00001,30
20240612,F012,F012,00001,12
20240617,F012,F012,00001,13
20240620,F012,F012,00001,19
20240626,F012,F012,00001,4
20240704,F012,F012,00001,51
20240712,F012,F012,00001,29
20240721,F012,F012,00001,21
20240726,F012,F012,00001,23
20240806,F012,F012,00001,24
20240808,F012,F012,00001,34
20240817,F012,F012,00001,7
20240824,F012,F012,00001,38
20240827,F012,F012,00001,40
20240903,F012,F012,00001,12
20240912,F012,F012,00001,11
20240918,F012,F012,00001,11
20240923,F012,F012,00001,19
20240930,F012,F012,00001,69
20241002,F012,F012,00001,35
20241008,F012,F012,00001,8
20241013,F012,F012,00001,24
20241018,F012,F012,00001,27
20241025,F012,F012,00001,24
20241031,F012,F012,00001,15
20241103,F012,F012,00001,21
20241108,F012,F012,00001,24
20241114,F012,F012,00001,14
20241123,F012,F012,00001,31
20241127,F012,F012,00001,22
20241201,F012,F012,00001,40
20241206,F012,F012,00001,22
20241211,F012,F012,00001,19
20241221,F012,F012,00001,16
20241226,F012,F012,00001,11
20241231,F012,F012,00001,12
20250104,F012,F012,00001,14
20250110,F012,F012,00001,6
20250115,F012,F012,00001,15
20250124,F012,F012,00001,35
20250127,F012,F012,00001,16
20250203,F012,F012,00001,21
20250211,F012,F012,00001,46
20250217,F012,F012,00001,23
20250221,F012,F012,00001,18
20250226,F012,F012,00001,17
20250306,F012,F012,00001,13
20250311,F012,F012,00001,24
20250318,F012,F012,00001,26
20250320,F012,F012,00001,18
20250326,F012,F012,00001,45
20250404,F012,F012,00001,23
20250410,F012,F012,00001,15
20250414,F012,F012,00001,24
20250422,F012,F012,00001,12
20250430,F012,F012,00001,37
20250505,F012,F012,00001,33
20250506,F012,F012,00001,9
20250511,F012,F012,00001,17
20250518,F012,F012,00001,23
20250526,F012,F012,00001,12
20250531,F012,F012,00001,27
20250604,F012,F012,00001,28
20250609,F012,F012,00001,30
20250618,F012,F012,00001,18
20250624,F012,F012,00001,44
20250629,F012,F012,00001,21
20250704,F012,F012,00001,6
20250708,F012,F012,00001,16
20250711,F012,F012,00001,17
20250717,F012,F012,00001,19
