view_date,doctor_id,facility_id,channel_id
2024-07-18,D0286,F188,CH09
2024-07-30,D0286,F188,CH09
2024-10-24,D0286,F188,CH08
2025-06-10,D0286,F188,CH07
2025-07-17,D0286,F188,CH07
2025-09-05,D0286,F188,CH07
2023-07-06,D0286,F188,CH01
2023-08-24,D0286,F188,CH01
2023-10-23,D0286,F188,CH03
2023-11-21,D0286,F188,CH01
2024-03-13,D0286,F188,CH02
2024-04-14,D0286,F188,CH01
2024-06-14,D0286,F188,CH03
2024-08-15,D0286,F188,CH02
2024-08-21,D0286,F188,CH02
2024-09-06,D0286,F188,CH03
2024-10-18,D0286,F188,CH03
2024-11-05,D0286,F188,CH03
2024-01-21,D0018,F018,CH01
2024-02-06,D0018,F018,CH01
2024-02-17,D0018,F018,CH01
2024-03-10,D0018,F018,CH03
2024-04-08,D0018,F018,CH03
2024-06-16,D0018,F018,CH02
2024-07-22,D0018,F018,CH03
2024-07-30,D0018,F018,CH02
2024-09-12,D0018,F018,CH02
2024-09-26,D0018,F018,CH03
2024-09-29,D0018,F018,CH02
2024-10-05,D0018,F018,CH01
2024-12-26,D0018,F018,CH02
2025-01-20,D0018,F018,CH01
2025-01-22,D0018,F018,CH03
2025-03-04,D0018,F018,CH03
2025-05-04,D0018,F018,CH02
2025-05-19,D0018,F018,CH01
2025-06-13,D0018,F018,CH02
2025-08-05,D0018,F018,CH03
2025-08-11,D0018,F018,CH02
2025-08-20,D0018,F018,CH02
2025-09-21,D0018,F018,CH01
2025-12-07,D0018,F018,CH03
2024-06-02,D0021,F021,CH01
2024-07-24,D0021,F021,CH03
2024-10-07,D0021,F021,CH01
2024-10-28,D0021,F021,CH01
2025-05-19,D0021,F021,CH02
2025-06-21,D0021,F021,CH01
2024-03-15,D0021,F021,CH04
2024-05-17,D0021,F021,CH04
2024-07-19,D0021,F021,CH05
2024-07-30,D0021,F021,CH06
2024-08-17,D0021,F021,CH06
2024-09-12,D0021,F021,CH05
2024-11-21,D0021,F021,CH04
2024-12-30,D0021,F021,CH05
2024-05-04,D0098,F098,CH07
2024-05-13,D0246,F176,CH09
2024-09-14,D0246,F176,CH07
2024-10-16,D0246,F176,CH08
2024-10-21,D0246,F176,CH09
2024-10-27,D0246,F176,CH09
2024-12-04,D0246,F176,CH08
2025-01-02,D0246,F176,CH09
2024-06-12,D0246,F176,CH03
2024-07-08,D0246,F176,CH03
2024-07-31,D0246,F176,CH01
2024-09-11,D0246,F176,CH03
2024-10-25,D0246,F176,CH01
2024-10-27,D0246,F176,CH03
2024-11-07,D0246,F176,CH03
2024-11-24,D0246,F176,CH01
2025-02-12,D0246,F176,CH01
2025-02-15,D0246,F176,CH01
2025-04-11,D0246,F176,CH01
2025-05-18,D0246,F176,CH02
2025-05-20,D0246,F176,CH01
2025-06-30,D0246,F176,CH03
2025-07-03,D0246,F176,CH03
2023-08-26,D0172,F146,CH07
2023-09-01,D0172,F146,CH07
2023-09-28,D0172,F146,CH08
2023-09-30,D0172,F146,CH09
2023-11-11,D0172,F146,CH09
2023-11-27,D0172,F146,CH09
2023-11-28,D0172,F146,CH08
2023-12-29,D0172,F146,CH08
2024-01-04,D0172,F146,CH09
2024-01-06,D0172,F146,CH07
2024-01-23,D0172,F146,CH07
2024-02-18,D0172,F146,CH08
2024-02-26,D0172,F146,CH08
2024-06-14,D0172,F146,CH09
2024-06-20,D0172,F146,CH08
2024-06-21,D0172,F146,CH08
2024-08-28,D0172,F146,CH09
2024-10-16,D0172,F146,CH09
2024-11-13,D0172,F146,CH08
2024-12-23,D0172,F146,CH07
2025-01-05,D0172,F146,CH08
2025-02-08,D0172,F146,CH07
2025-04-26,D0172,F146,CH07
2025-05-19,D0172,F146,CH07
2025-09-08,D0172,F146,CH09
2025-09-20,D0172,F146,CH09
2025-10-02,D0172,F146,CH09
2025-10-19,D0172,F146,CH08
2025-12-13,D0172,F146,CH09
2023-09-19,D0172,F146,CH05
2023-12-29,D0172,F146,CH04
2024-01-09,D0172,F146,CH05
2024-01-29,D0172,F146,CH05
2024-02-02,D0172,F146,CH06
2024-02-15,D0172,F146,CH05
2024-02-28,D0172,F146,CH04
2024-04-07,D0172,F146,CH06
2024-04-18,D0172,F146,CH06
2024-05-10,D0172,F146,CH04
2024-05-16,D0172,F146,CH06
2024-07-26,D0172,F146,CH05
2024-08-23,D0172,F146,CH05
2024-11-17,D0172,F146,CH06
2024-12-16,D0172,F146,CH04
2025-01-23,D0172,F146,CH05
2025-01-28,D0172,F146,CH04
2025-02-09,D0172,F146,CH05
2025-07-12,D0172,F146,CH05
2025-09-16,D0172,F146,CH06
2025-11-11,D0172,F146,CH06
2024-03-20,D0172,F146,CH03
2024-05-21,D0172,F146,CH01
2024-10-30,D0172,F146,CH02
2024-11-19,D0172,F146,CH03
2024-12-10,D0172,F146,CH02
2024-12-12,D0172,F146,CH02
2025-01-22,D0172,F146,CH02
2025-02-10,D0172,F146,CH03
2025-05-15,D0172,F146,CH03
2025-07-26,D0172,F146,CH03
2025-09-29,D0172,F146,CH02
2025-10-25,D0172,F146,CH03
2024-03-13,D0056,F056,CH06
2024-04-08,D0056,F056,CH04
2024-05-28,D0056,F056,CH05
2024-06-16,D0056,F056,CH05
2024-06-24,D0056,F056,CH04
2024-06-29,D0056,F056,CH06
2024-07-12,D0056,F056,CH04
2024-07-24,D0056,F056,CH06
2024-08-05,D0056,F056,CH05
2024-08-30,D0056,F056,CH05
2024-09-03,D0056,F056,CH04
2024-12-05,D0056,F056,CH05
2024-12-18,D0056,F056,CH06
2024-12-29,D0056,F056,CH06
2025-01-24,D0056,F056,CH04
2025-03-10,D0056,F056,CH06
2025-07-05,D0056,F056,CH04
2024-03-17,D0056,F056,CH03
2024-04-21,D0056,F056,CH01
2024-05-10,D0056,F056,CH03
2024-05-16,D0056,F056,CH02
2024-06-26,D0056,F056,CH02
2024-07-08,D0056,F056,CH02
2024-07-13,D0056,F056,CH02
2024-07-24,D0056,F056,CH03
2024-08-20,D0056,F056,CH02
2024-09-14,D0056,F056,CH03
2024-09-15,D0056,F056,CH01
2024-10-09,D0056,F056,CH03
2024-11-12,D0056,F056,CH02
2024-12-19,D0056,F056,CH01
2025-06-18,D0056,F056,CH03
2025-09-04,D0056,F056,CH03
2025-09-06,D0056,F056,CH03
2024-01-13,D0331,F199,CH06
2024-02-24,D0331,F199,CH06
2024-06-14,D0331,F199,CH06
2024-07-06,D0331,F199,CH06
2024-07-16,D0331,F199,CH04
2024-07-17,D0331,F199,CH06
2024-09-21,D0331,F199,CH05
2024-12-09,D0331,F199,CH06
2025-01-21,D0331,F199,CH06
2025-01-25,D0331,F199,CH05
2025-02-10,D0331,F199,CH06
2025-03-21,D0331,F199,CH04
2025-03-30,D0331,F199,CH06
2025-05-07,D0331,F199,CH04
2025-05-24,D0331,F199,CH04
2025-06-08,D0331,F199,CH04
2025-09-20,D0331,F199,CH05
2025-11-01,D0331,F199,CH06
2025-12-30,D0331,F199,CH04
2024-01-05,D0331,F199,CH03
2024-03-12,D0331,F199,CH02
2024-04-02,D0331,F199,CH01
2024-10-01,D0331,F199,CH02
2024-11-01,D0331,F199,CH01
2024-11-07,D0331,F199,CH03
2025-01-31,D0331,F199,CH03
2025-02-17,D0331,F199,CH02
2025-03-17,D0331,F199,CH03
2025-05-01,D0331,F199,CH02
2025-05-03,D0331,F199,CH03
2025-05-10,D0331,F199,CH01
2025-10-18,D0331,F199,CH03
2024-01-21,D0331,F199,CH08
2024-07-25,D0331,F199,CH07
2024-08-18,D0331,F199,CH09
2024-10-07,D0331,F199,CH07
2024-10-29,D0331,F199,CH08
2024-11-29,D0331,F199,CH08
2024-12-01,D0331,F199,CH09
2025-01-17,D0331,F199,CH07
2025-04-22,D0331,F199,CH07
2025-05-07,D0331,F199,CH09
2025-05-10,D0331,F199,CH07
2025-06-13,D0331,F199,CH07
2025-11-23,D0331,F199,CH07
2024-05-10,D0250,F177,CH05
2024-08-29,D0250,F177,CH06
2024-10-28,D0250,F177,CH06
2024-11-29,D0250,F177,CH05
2025-04-02,D0250,F177,CH06
2025-06-02,D0250,F177,CH06
2025-08-16,D0250,F177,CH05
2024-05-07,D0250,F177,CH03
2024-06-15,D0250,F177,CH02
2024-08-16,D0250,F177,CH01
2024-10-24,D0250,F177,CH02
2024-11-04,D0250,F177,CH02
2025-04-29,D0250,F177,CH03
2023-05-06,D0245,F175,CH03
2023-06-08,D0245,F175,CH01
2023-06-17,D0245,F175,CH01
2023-06-19,D0245,F175,CH03
2023-07-22,D0245,F175,CH03
2023-12-04,D0245,F175,CH01
2024-01-31,D0245,F175,CH01
2024-04-28,D0245,F175,CH01
2024-05-09,D0245,F175,CH03
2024-05-29,D0245,F175,CH02
2024-06-06,D0245,F175,CH02
2024-06-08,D0245,F175,CH03
2024-06-12,D0245,F175,CH03
2024-06-28,D0245,F175,CH03
2024-07-20,D0245,F175,CH01
2024-08-22,D0245,F175,CH03
2024-09-12,D0245,F175,CH01
2024-10-22,D0245,F175,CH02
2024-10-28,D0245,F175,CH03
2025-01-26,D0245,F175,CH03
2025-02-07,D0245,F175,CH01
2025-03-08,D0245,F175,CH01
2023-07-05,D0011,F011,CH02
2023-12-27,D0011,F011,CH01
2024-01-05,D0011,F011,CH01
2024-01-25,D0011,F011,CH03
2023-11-10,D0011,F011,CH04
2024-01-02,D0011,F011,CH05
2024-02-03,D0011,F011,CH06
2024-02-22,D0011,F011,CH05
2024-05-15,D0011,F011,CH04
2024-07-12,D0011,F011,CH05
2024-09-17,D0011,F011,CH05
2024-10-06,D0011,F011,CH06
2024-12-10,D0011,F011,CH05
2025-01-22,D0011,F011,CH06
2024-06-16,D0037,F037,CH03
2024-07-31,D0037,F037,CH02
2024-08-26,D0037,F037,CH03
2024-10-27,D0037,F037,CH03
2024-12-01,D0037,F037,CH03
2024-06-05,D0182,F151,CH03
2024-07-23,D0182,F151,CH03
2024-07-25,D0182,F151,CH03
2024-08-05,D0182,F151,CH03
2024-08-16,D0182,F151,CH01
2024-10-01,D0182,F151,CH02
2024-10-28,D0182,F151,CH02
2024-12-15,D0182,F151,CH03
2025-01-26,D0182,F151,CH03
2025-02-13,D0182,F151,CH02
2025-02-14,D0182,F151,CH03
2025-08-27,D0182,F151,CH03
2025-10-07,D0182,F151,CH02
2025-10-20,D0182,F151,CH03
2023-09-24,D0182,F151,CH09
2023-11-14,D0182,F151,CH08
2024-07-07,D0182,F151,CH07
2024-09-18,D0182,F151,CH08
2024-09-29,D0182,F151,CH07
2024-08-05,D0217,F166,CH08
2024-10-18,D0217,F166,CH08
2024-10-27,D0217,F166,CH09
2025-01-20,D0217,F166,CH09
2025-05-29,D0217,F166,CH08
2025-06-04,D0217,F166,CH07
2025-08-07,D0217,F166,CH07
2025-09-22,D0217,F166,CH09
2025-10-14,D0217,F166,CH07
2025-10-29,D0217,F166,CH07
2025-11-07,D0217,F166,CH08
2025-11-28,D0217,F166,CH08
2025-12-11,D0217,F166,CH08
2023-11-12,D0140,F130,CH09
2024-02-05,D0140,F130,CH09
2024-04-15,D0140,F130,CH08
2024-04-19,D0140,F130,CH09
2024-04-25,D0140,F130,CH09
2024-07-03,D0140,F130,CH07
2024-08-06,D0140,F130,CH08
2024-09-11,D0140,F130,CH08
2024-09-21,D0140,F130,CH09
2024-10-15,D0140,F130,CH09
2024-11-22,D0140,F130,CH07
2024-12-19,D0140,F130,CH08
2025-04-15,D0140,F130,CH09
2025-06-14,D0140,F130,CH08
2025-08-10,D0140,F130,CH08
2025-08-18,D0140,F130,CH08
2025-08-31,D0140,F130,CH09
2025-10-03,D0140,F130,CH08
2025-11-01,D0140,F130,CH09
2025-11-12,D0140,F130,CH07
2025-12-07,D0140,F130,CH07
2025-12-28,D0140,F130,CH09
2023-10-04,D0140,F130,CH05
2023-12-07,D0140,F130,CH05
2024-03-22,D0140,F130,CH04
2024-07-08,D0140,F130,CH04
2024-08-13,D0140,F130,CH05
2024-10-23,D0140,F130,CH06
2024-11-19,D0140,F130,CH04
2024-12-04,D0140,F130,CH06
2024-12-12,D0140,F130,CH04
2024-12-28,D0140,F130,CH04
2025-01-13,D0140,F130,CH06
2025-03-02,D0140,F130,CH06
2025-05-29,D0140,F130,CH06
2025-07-08,D0140,F130,CH06
2025-07-19,D0140,F130,CH05
2025-09-07,D0140,F130,CH05
2025-10-14,D0140,F130,CH04
2025-10-25,D0140,F130,CH04
2024-05-24,D0140,F130,CH01
2024-05-29,D0140,F130,CH03
2024-06-06,D0140,F130,CH01
2024-06-17,D0140,F130,CH01
2024-09-28,D0140,F130,CH01
2024-10-24,D0140,F130,CH02
2024-10-28,D0140,F130,CH02
2024-11-18,D0140,F130,CH01
2025-02-06,D0140,F130,CH02
2025-03-02,D0140,F130,CH01
2025-04-21,D0140,F130,CH02
2025-05-08,D0140,F130,CH02
2025-06-01,D0140,F130,CH01
2025-07-06,D0140,F130,CH01
2025-08-25,D0140,F130,CH02
2025-12-01,D0318,F196,CH07
2023-08-25,D0277,F186,CH08
2024-09-08,D0044,F044,CH06
2024-10-18,D0044,F044,CH05
2024-10-22,D0044,F044,CH04
2024-10-24,D0044,F044,CH05
2024-10-27,D0044,F044,CH05
2024-10-31,D0044,F044,CH06
2024-12-08,D0044,F044,CH04
2025-01-24,D0044,F044,CH04
2025-01-25,D0044,F044,CH06
2025-03-20,D0044,F044,CH05
2025-03-26,D0044,F044,CH06
2025-03-27,D0044,F044,CH04
2025-06-20,D0044,F044,CH06
2025-07-02,D0044,F044,CH04
2025-08-14,D0044,F044,CH06
2023-11-14,D0044,F044,CH02
2024-05-30,D0044,F044,CH01
2024-06-03,D0044,F044,CH02
2024-06-08,D0044,F044,CH03
2024-06-16,D0044,F044,CH03
2024-06-21,D0044,F044,CH03
2024-09-30,D0044,F044,CH03
2024-10-27,D0044,F044,CH02
2024-11-05,D0044,F044,CH01
2025-03-01,D0044,F044,CH03
2025-03-06,D0044,F044,CH03
2025-04-01,D0044,F044,CH01
2025-05-30,D0044,F044,CH03
2025-06-26,D0044,F044,CH03
2025-07-15,D0044,F044,CH01
2025-08-24,D0044,F044,CH01
2025-10-31,D0044,F044,CH03
2024-01-25,D0227,F169,CH02
2024-02-11,D0227,F169,CH03
2024-05-22,D0227,F169,CH02
2024-06-01,D0227,F169,CH02
2024-06-13,D0227,F169,CH03
2024-08-14,D0227,F169,CH02
2024-08-20,D0227,F169,CH02
2024-09-10,D0227,F169,CH01
2024-10-05,D0227,F169,CH02
2024-11-05,D0227,F169,CH01
2024-11-27,D0227,F169,CH02
2024-12-26,D0227,F169,CH03
2024-06-02,D0227,F169,CH05
2025-01-10,D0227,F169,CH05
2025-01-17,D0227,F169,CH05
2025-05-16,D0227,F169,CH05
2025-06-26,D0227,F169,CH04
2023-07-15,D0263,F181,CH05
2023-08-20,D0263,F181,CH06
2023-08-25,D0263,F181,CH06
2023-10-15,D0263,F181,CH06
2024-03-02,D0263,F181,CH04
2024-04-10,D0263,F181,CH05
2024-04-15,D0263,F181,CH06
2024-05-07,D0263,F181,CH04
2024-05-29,D0263,F181,CH06
2024-06-25,D0263,F181,CH05
2024-07-06,D0263,F181,CH04
2024-04-19,D0263,F181,CH03
2024-04-29,D0263,F181,CH01
2024-07-31,D0263,F181,CH01
2024-09-09,D0263,F181,CH03
2024-10-25,D0263,F181,CH03
2024-10-28,D0263,F181,CH02
2023-11-28,D0263,F181,CH07
2024-03-31,D0263,F181,CH09
2024-04-05,D0263,F181,CH09
2024-04-06,D0263,F181,CH08
2024-06-07,D0263,F181,CH08
2024-11-03,D0263,F181,CH08
2024-12-11,D0263,F181,CH07
2025-01-05,D0263,F181,CH07
2025-02-06,D0263,F181,CH08
2025-02-09,D0263,F181,CH09
2025-03-02,D0263,F181,CH08
2025-03-14,D0263,F181,CH07
2025-05-06,D0263,F181,CH09
2024-05-04,D0319,F196,CH05
2024-06-02,D0291,F189,CH06
2024-07-19,D0291,F189,CH05
2024-08-09,D0291,F189,CH06
2024-09-09,D0291,F189,CH05
2024-11-22,D0291,F189,CH06
2024-11-25,D0291,F189,CH04
2024-11-28,D0291,F189,CH05
2025-03-04,D0291,F189,CH04
2025-03-11,D0291,F189,CH06
2025-05-31,D0291,F189,CH05
2025-08-07,D0291,F189,CH06
2023-08-11,D0291,F189,CH09
2024-02-24,D0291,F189,CH07
2024-03-07,D0291,F189,CH07
2024-06-29,D0291,F189,CH09
2024-08-23,D0291,F189,CH09
2024-10-27,D0291,F189,CH07
2024-12-30,D0291,F189,CH08
2024-04-05,D0291,F189,CH02
2024-05-15,D0291,F189,CH03
2024-07-25,D0291,F189,CH02
2024-07-29,D0291,F189,CH02
2024-08-13,D0291,F189,CH01
2024-10-12,D0291,F189,CH03
2024-11-09,D0291,F189,CH03
2024-11-13,D0291,F189,CH03
2023-06-01,D0165,F143,CH09
2023-08-14,D0165,F143,CH09
2023-08-22,D0165,F143,CH07
2023-09-17,D0165,F143,CH08
2023-11-07,D0165,F143,CH09
2023-11-27,D0165,F143,CH07
2024-01-12,D0165,F143,CH07
2024-02-22,D0165,F143,CH07
2023-09-09,D0165,F143,CH02
2023-12-28,D0165,F143,CH01
2024-02-13,D0165,F143,CH02
2024-02-27,D0165,F143,CH02
2024-05-11,D0165,F143,CH02
2024-06-25,D0165,F143,CH01
2024-09-21,D0165,F143,CH03
2024-10-17,D0165,F143,CH01
2024-12-07,D0165,F143,CH03
2023-04-02,D0184,F152,CH04
2023-05-18,D0184,F152,CH06
2023-06-17,D0184,F152,CH04
2024-01-09,D0184,F152,CH05
2024-01-27,D0184,F152,CH05
2024-03-26,D0184,F152,CH05
2024-04-09,D0184,F152,CH04
2024-05-17,D0184,F152,CH05
2024-06-20,D0184,F152,CH04
2024-07-17,D0184,F152,CH05
2024-10-13,D0184,F152,CH06
2024-11-01,D0184,F152,CH05
2024-12-01,D0184,F152,CH05
2024-12-18,D0184,F152,CH04
2023-04-16,D0184,F152,CH07
2023-07-26,D0184,F152,CH08
2023-08-24,D0184,F152,CH08
2023-09-20,D0184,F152,CH07
2023-09-21,D0184,F152,CH07
2023-11-05,D0184,F152,CH09
2023-12-01,D0184,F152,CH07
2023-12-25,D0184,F152,CH09
2025-11-24,D0243,F175,CH04
2023-05-17,D0124,F122,CH07
2023-06-05,D0124,F122,CH09
2023-11-04,D0124,F122,CH09
2023-12-08,D0124,F122,CH07
2024-04-14,D0124,F122,CH08
2024-06-20,D0124,F122,CH07
2024-07-04,D0124,F122,CH07
2024-08-25,D0124,F122,CH08
2024-09-10,D0124,F122,CH07
2024-09-27,D0124,F122,CH09
2023-05-24,D0124,F122,CH04
2023-06-05,D0124,F122,CH05
2023-06-22,D0124,F122,CH04
2023-07-09,D0124,F122,CH06
2023-08-22,D0124,F122,CH06
2023-12-22,D0124,F122,CH04
2024-01-01,D0124,F122,CH06
2024-01-10,D0124,F122,CH04
2024-01-15,D0124,F122,CH06
2023-04-25,D0124,F122,CH02
2023-04-30,D0124,F122,CH02
2023-08-30,D0124,F122,CH02
2024-02-25,D0124,F122,CH03
2024-03-26,D0124,F122,CH03
2024-05-11,D0124,F122,CH02
2024-07-11,D0124,F122,CH03
2024-09-22,D0124,F122,CH02
2024-09-23,D0124,F122,CH01
2024-09-29,D0124,F122,CH02
2024-10-20,D0124,F122,CH02
2024-10-24,D0124,F122,CH03
2024-11-06,D0124,F122,CH03
2025-01-12,D0124,F122,CH03
2025-01-20,D0124,F122,CH01
2025-01-29,D0124,F122,CH01
2023-09-11,D0060,F060,CH02
2023-11-03,D0060,F060,CH03
2023-11-17,D0060,F060,CH03
2023-11-22,D0060,F060,CH03
2023-12-04,D0060,F060,CH02
2023-12-18,D0060,F060,CH03
2023-12-23,D0060,F060,CH03
2024-02-01,D0060,F060,CH01
2024-05-19,D0060,F060,CH01
2024-07-31,D0060,F060,CH03
2024-10-10,D0060,F060,CH01
2024-11-28,D0060,F060,CH01
2024-12-08,D0060,F060,CH01
2025-01-12,D0060,F060,CH02
2025-01-19,D0060,F060,CH03
2025-04-04,D0060,F060,CH03
2025-06-21,D0060,F060,CH03
2025-07-21,D0060,F060,CH01
2025-07-25,D0060,F060,CH01
2025-08-30,D0060,F060,CH01
2025-10-01,D0060,F060,CH02
2025-10-25,D0060,F060,CH01
2025-10-26,D0060,F060,CH02
2024-04-03,D0060,F060,CH07
2024-07-28,D0060,F060,CH08
2024-08-31,D0060,F060,CH08
2024-09-05,D0060,F060,CH09
2024-10-21,D0060,F060,CH07
2024-11-15,D0060,F060,CH08
2024-12-12,D0060,F060,CH09
2025-02-01,D0060,F060,CH08
2025-02-24,D0060,F060,CH08
2025-03-01,D0060,F060,CH07
2025-03-23,D0060,F060,CH09
2025-04-08,D0060,F060,CH08
2025-06-05,D0060,F060,CH09
2025-06-12,D0060,F060,CH07
2025-06-25,D0060,F060,CH07
2025-10-23,D0060,F060,CH08
2025-10-29,D0060,F060,CH07
2025-12-12,D0060,F060,CH08
2023-04-23,D0226,F169,CH08
2023-05-15,D0226,F169,CH07
2023-05-22,D0226,F169,CH08
2023-07-25,D0226,F169,CH09
2023-08-27,D0226,F169,CH07
2023-09-01,D0226,F169,CH07
2024-01-10,D0226,F169,CH07
2024-03-05,D0226,F169,CH07
2024-04-21,D0226,F169,CH09
2024-06-03,D0226,F169,CH07
2024-06-14,D0226,F169,CH09
2024-09-18,D0226,F169,CH07
2024-10-11,D0226,F169,CH07
2025-01-12,D0226,F169,CH08
2023-04-26,D0226,F169,CH03
2023-07-08,D0226,F169,CH01
2023-08-07,D0226,F169,CH01
2023-08-10,D0226,F169,CH01
2023-09-20,D0226,F169,CH02
2023-10-10,D0226,F169,CH01
2023-10-28,D0226,F169,CH01
2023-11-02,D0226,F169,CH01
2023-11-20,D0226,F169,CH03
2023-12-04,D0226,F169,CH03
2023-12-28,D0226,F169,CH02
2024-01-14,D0226,F169,CH02
2024-04-23,D0226,F169,CH02
2024-05-26,D0226,F169,CH01
2024-06-09,D0226,F169,CH03
2024-07-16,D0226,F169,CH03
2024-08-06,D0226,F169,CH02
2023-04-15,D0090,F090,CH05
2023-06-05,D0090,F090,CH06
2023-09-09,D0090,F090,CH06
2023-11-02,D0090,F090,CH05
2023-12-25,D0090,F090,CH06
2024-01-14,D0090,F090,CH05
2023-04-11,D0090,F090,CH08
2023-06-08,D0090,F090,CH09
2023-06-16,D0090,F090,CH08
2023-06-28,D0090,F090,CH09
2023-07-02,D0090,F090,CH08
2023-07-04,D0090,F090,CH08
2023-09-09,D0090,F090,CH07
2024-06-26,D0090,F090,CH09
2024-07-01,D0090,F090,CH09
2024-07-04,D0090,F090,CH09
2024-07-13,D0090,F090,CH09
2023-05-25,D0090,F090,CH01
2023-06-13,D0090,F090,CH02
2023-10-14,D0090,F090,CH03
2023-10-16,D0090,F090,CH03
2023-11-24,D0090,F090,CH01
2024-01-01,D0090,F090,CH01
2024-02-08,D0090,F090,CH01
2024-02-25,D0090,F090,CH02
2025-11-05,D0251,F177,CH06
2025-10-26,D0251,F177,CH01
2025-11-01,D0251,F177,CH09
2024-11-09,D0320,F197,CH09
2025-01-24,D0320,F197,CH08
2025-03-03,D0320,F197,CH07
2025-04-10,D0320,F197,CH09
2025-04-21,D0320,F197,CH07
2025-05-17,D0320,F197,CH07
2025-05-19,D0320,F197,CH07
2025-05-28,D0320,F197,CH08
2025-05-31,D0320,F197,CH09
2025-06-12,D0320,F197,CH09
2025-07-18,D0320,F197,CH07
2025-11-03,D0320,F197,CH09
2024-04-14,D0055,F055,CH05
2024-05-09,D0055,F055,CH06
2024-05-15,D0055,F055,CH04
2024-06-14,D0055,F055,CH06
2024-09-04,D0055,F055,CH05
2024-09-05,D0055,F055,CH04
2024-09-06,D0055,F055,CH06
2024-09-29,D0055,F055,CH04
2024-10-05,D0055,F055,CH06
2024-10-07,D0055,F055,CH06
2024-10-31,D0055,F055,CH04
2024-12-17,D0055,F055,CH06
2025-03-08,D0055,F055,CH06
2025-07-21,D0055,F055,CH06
2025-08-24,D0055,F055,CH06
2025-09-10,D0055,F055,CH06
2025-12-24,D0055,F055,CH06
2024-05-21,D0055,F055,CH02
2024-06-16,D0055,F055,CH03
2024-06-19,D0055,F055,CH01
2024-07-06,D0055,F055,CH01
2024-07-09,D0055,F055,CH02
2024-07-17,D0055,F055,CH02
2024-08-02,D0055,F055,CH02
2024-11-06,D0055,F055,CH03
2024-11-27,D0055,F055,CH03
2024-12-16,D0055,F055,CH01
2025-02-02,D0055,F055,CH01
2025-03-05,D0055,F055,CH03
2025-05-08,D0055,F055,CH01
2025-06-07,D0055,F055,CH03
2025-06-20,D0055,F055,CH02
2025-07-22,D0055,F055,CH03
2025-06-08,D0304,F193,CH09
